1.000000e+008 6.377181e+006 5.673244e+006 
9.090909e+007 6.086111e+006 5.427650e+006 
8.264463e+007 5.808264e+006 5.179326e+006 
7.513148e+007 5.543157e+006 4.941558e+006 
6.830135e+007 5.290203e+006 4.714790e+006 
6.209213e+007 5.048834e+006 4.498460e+006 
5.644739e+007 4.818502e+006 4.291627e+006 
5.131581e+007 4.598712e+006 4.095860e+006 
4.665074e+007 4.388932e+006 3.906872e+006 
4.240976e+007 4.188734e+006 3.728490e+006 
3.855433e+007 3.997649e+006 3.558169e+006 
3.504939e+007 3.815253e+006 3.395744e+006 
3.186308e+007 3.641129e+006 3.239994e+006 
2.896644e+007 3.474919e+006 3.093563e+006 
2.633313e+007 3.316215e+006 2.952304e+006 
2.393920e+007 3.164692e+006 2.818620e+006 
2.176291e+007 3.019983e+006 2.689129e+006 
1.978447e+007 2.881803e+006 2.567005e+006 
1.798588e+007 2.749838e+006 2.450956e+006 
1.635080e+007 2.623784e+006 2.339455e+006 
1.486436e+007 2.503374e+006 2.233078e+006 
1.351306e+007 2.388364e+006 2.133437e+006 
1.228460e+007 2.278467e+006 2.036360e+006 
1.116782e+007 2.173472e+006 1.944187e+006 
1.015256e+007 2.073156e+006 1.857076e+006 
9.229600e+006 1.977286e+006 1.772501e+006 
8.390545e+006 1.885681e+006 1.692609e+006 
7.627768e+006 1.798134e+006 1.615421e+006 
6.934335e+006 1.714480e+006 1.542660e+006 
6.303941e+006 1.634539e+006 1.473111e+006 
5.730855e+006 1.558154e+006 1.406731e+006 
5.209868e+006 1.485171e+006 1.342552e+006 
4.736244e+006 1.415476e+006 1.282192e+006 
4.305676e+006 1.348936e+006 1.223530e+006 
3.914251e+006 1.285460e+006 1.167659e+006 
3.558410e+006 1.224944e+006 1.113433e+006 
3.234918e+006 1.167307e+006 1.061846e+006 
2.940835e+006 1.112457e+006 1.012747e+006 
2.673486e+006 1.060285e+006 9.651163e+005 
2.430442e+006 1.010704e+006 9.213366e+005 
2.209493e+006 9.635660e+005 8.775153e+005 
2.008630e+006 9.187779e+005 8.371306e+005 
1.826027e+006 8.761974e+005 7.971738e+005 
1.660025e+006 8.357223e+005 7.587423e+005 
1.509113e+006 7.972711e+005 7.239012e+005 
1.371921e+006 7.607440e+005 6.897380e+005 
1.247201e+006 7.260820e+005 6.561724e+005 
1.133819e+006 6.932534e+005 6.246459e+005 
1.030745e+006 6.622248e+005 5.946336e+005 
9.370406e+005 6.329631e+005 5.644501e+005 
8.518551e+005 6.054573e+005 5.366287e+005 
7.744138e+005 5.796656e+005 5.100654e+005 
7.040125e+005 5.555376e+005 4.846313e+005 
6.400114e+005 5.330016e+005 4.593573e+005 
5.818285e+005 5.119807e+005 4.362390e+005 
5.289350e+005 4.923680e+005 4.144503e+005 
4.808500e+005 4.740484e+005 3.939118e+005 
4.371364e+005 4.568991e+005 3.746487e+005 
3.973967e+005 4.407949e+005 3.566339e+005 
3.612697e+005 4.256123e+005 3.398332e+005 
3.284270e+005 4.112336e+005 3.242091e+005 
2.985700e+005 3.975497e+005 3.097125e+005 
2.714273e+005 3.844617e+005 2.962846e+005 
2.467521e+005 3.718819e+005 2.838607e+005 
2.243201e+005 3.597337e+005 2.723719e+005 
2.039273e+005 3.479515e+005 2.617474e+005 
1.853885e+005 3.364798e+005 2.519166e+005 
